Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Control,High Value,240.5483589,300.0075675,74.68476651,,No
Treatment,High Value,246.8621142,381.3375545,100,100,Yes
Control,High Value,156.9780845,179.3304635,98.78073493,100,No
Control,Medium Value,192.1267083,229.2780311,49.33376568,39.81184103,Yes
,High Value,229.6856225,,83.97485224,87.73859146,Yes
Treatment,,135.5730031,218.5599879,58.07534156,69.4049177,No
Control,High Value,191.7139175,222.4093563,89.96782704,85.12097519,Yes
Control,Low Value,173.752555,213.1682319,66.98471068,67.88155831,
,High Value,208.3085772,248.1788297,95.36666991,84.79029369,Yes
Treatment,High Value,235.0714932,352.7568721,72.91985146,70.7532251,No
Control,Low Value,139.9315393,170.2383962,59.84476558,,Yes
Control,High Value,,333.0649724,74.38393901,67.94240256,
Control,,211.8349368,254.8439122,,87.60154445,Yes
Control,High Value,217.7760133,259.9896244,100,100,Yes
,Medium Value,173.1834455,284.9242994,81.94912049,,No
Control,Low Value,188.3389625,232.5824858,53.45882198,63.4672245,Yes
Treatment,,306.7014523,485.1354245,77.43166165,78.36128221,
Treatment,Low Value,164.6363191,242.3219339,50.55733694,63.47724521,No
Treatment,,151.7338691,231.6154279,51.64879271,,Yes
Control,Low Value,136.6363153,162.7193515,50.29607851,46.96473643,Yes
Treatment,High Value,225.1631649,355.2104511,,95.05431689,No
Control,High Value,215.2826142,264.2998633,83.27203259,100,Yes
Treatment,Low Value,182.990785,277.891566,51.35488358,64.40241351,No
Treatment,Medium Value,216.7521262,342.6431039,,68.33514145,Yes
Treatment,Low Value,193.3651517,293.1838118,57.82708352,62.87584819,No
Treatment,Medium Value,199.8974827,317.3884361,74.92718784,75.32867379,No
Treatment,Low Value,263.2041451,,56.31138503,45.33645803,Yes
Treatment,Low Value,213.2222877,341.4281557,45.39979304,46.47630106,No
Treatment,Low Value,128.7666316,202.578297,54.96175661,42.65810995,No
Treatment,High Value,134.0175103,205.5408433,,86.28785873,Yes
Control,Medium Value,162.7869472,197.0942672,64.78195876,71.75744554,Yes
Control,Medium Value,,256.7950583,72.49876467,,No
Treatment,Low Value,145.4048689,226.8527581,59.25262599,53.19109377,No
Treatment,High Value,,132.2872221,39.42157094,100,No
,High Value,226.6438579,355.9844588,79.27226736,,No
Control,Medium Value,177.4821282,211.2971535,69.5147959,71.92052708,No
Treatment,High Value,109.2668218,,99.23269996,100,Yes
,Medium Value,203.8462203,243.7668889,39.33142355,,Yes
,Medium Value,236.3506389,278.0196706,70.28976369,73.61401738,Yes
Control,,,177.5542372,,83.77448967,No
Control,,228.0030106,,92.36207576,97.45070766,Yes
Control,,145.7984305,,68.48512943,62.93528172,Yes
,Medium Value,169.7758798,255.3552668,79.39828893,100,Yes
Treatment,Low Value,201.2568828,297.5883433,,76,No
Treatment,Medium Value,233.9696099,366.828606,67.70828315,78.12757291,Yes
Treatment,,236.5959032,377.3724479,62.02675645,40.83754741,No
Treatment,,189.7336858,304.5056465,55.38874554,62.8034623,No
Control,Low Value,242.918748,296.4995523,50.37416819,,No
Treatment,High Value,189.2961911,293.1901573,86.76226901,100,Yes
Treatment,,172.7132674,273.7866087,,,Yes
Control,High Value,80.10698641,91.62472506,87.64806925,,Yes
Treatment,High Value,213.8298753,327.9300814,81.47563847,92.56125036,No
Control,,203.9345757,245.7546974,,64.12566701,Yes
Treatment,High Value,240.1381373,376.4099447,40.97433211,34.95949368,No
,Medium Value,174.9501536,206.4838081,70.52375772,,No
Treatment,,223.1097728,349.1185063,46.70961393,34.23482517,Yes
Treatment,Medium Value,193.1849558,310.1992937,76.52557803,79.21906067,Yes
Control,Medium Value,237.8556966,279.7706519,71.98760622,60.49396664,No
Control,Low Value,204.3447983,,43.05136037,38.86874795,No
Control,Medium Value,,243.7668889,68.30290405,,Yes
,Low Value,194.1414391,223.4838316,55.2596888,56.39527596,No
,Medium Value,230.7219904,278.4939762,90.2296487,,Yes
Control,Low Value,172.6411686,206.6024287,57.27935911,70.71121374,No
Control,,187.0948094,225.0310791,,86.77075783,Yes
,Medium Value,,276.1127971,,76.75085454,No
,Low Value,254.8027871,,49.88117874,54.74526634,
Treatment,,170.090802,269.2614163,68.2345281,76.60069053,No
Control,Medium Value,193.8522598,235.2442074,,100,Yes
Treatment,Medium Value,204.4142284,329.5882833,63.8904388,70.36518793,No
Treatment,Low Value,,332.3742015,51.439854,71.69786548,Yes
Treatment,High Value,242.4301351,379.3891333,68.74292967,75.71080432,No
Treatment,High Value,280.1138148,445.858002,,73.93880145,No
Control,High Value,329.8606829,393.6729084,70.24902619,88.77209225,Yes
Treatment,Low Value,159.4987195,,49.39160962,,No
Control,High Value,,297.430261,,94.16914812,No
,Low Value,199.3834355,309.0761408,,,No
Treatment,Medium Value,202.8169269,319.2517321,,87.33936835,No
Treatment,Medium Value,230.2657075,361.6433033,,,Yes
Control,High Value,207.4444234,249.6567867,,78.97114632,No
Treatment,Low Value,186.9691652,304.250513,,,Yes
Control,Medium Value,135.1482577,161.1212564,71.23891843,,Yes
Treatment,Low Value,158.7265942,259.9867841,59.8572122,75.04613479,Yes
Control,Low Value,235.1512487,275.9639846,53.83807658,50.53983281,Yes
Treatment,Medium Value,249.4366118,388.3369746,,79.66908696,No
Control,Low Value,189.4750359,225.7613841,69.93064954,76,Yes
Control,Medium Value,,216.1739951,55.92144718,59.89879898,No
Treatment,,,374.7606793,54.46811691,,Yes
Control,Medium Value,265.09955,320.1342861,64.61195627,,Yes
Treatment,,160.5607727,256.7264118,58.54494453,,Yes
,Medium Value,131.4805279,202.0638941,75.99044608,73.03348243,Yes
Treatment,Low Value,202.1712461,310.5297633,61.05205377,56.76579782,No
Treatment,Medium Value,252.2249447,388.1278624,,61.65659973,Yes
Treatment,Medium Value,227.6106187,358.5653166,50.97302497,57.5893517,No
Treatment,High Value,306.2107165,463.2741823,82.05345673,70.83106903,Yes
Treatment,High Value,306.1105693,465.5451553,,97.29332153,Yes
Treatment,High Value,197.1545206,307.7811151,91.79068418,87.87154083,Yes
,Low Value,191.9083087,303.1485654,62.07250217,,Yes
Treatment,,160.469251,251.8805312,49.31684562,47.2644137,Yes
Treatment,,150.7670916,239.5131756,78.53509915,100,No
Control,Medium Value,152.5235456,176.2311182,,,Yes
Control,Medium Value,230.6858976,265.7187958,76.37909997,79.15259285,No
Treatment,Medium Value,,341.8719553,75.94589282,92.84789984,Yes
Treatment,Low Value,,,66.50122013,51.28299744,Yes
Treatment,,324.5249588,509.8624151,57.30177397,68.42506975,No
,Medium Value,,337.6925398,84.49841413,91.19405697,Yes
Treatment,High Value,,287.8134633,93.41854482,73.92144865,Yes
Treatment,Medium Value,263.1431143,409.9707788,71.44030035,72.24065481,Yes
Treatment,Medium Value,162.5573431,261.3689884,69.89900239,82.9680338,No
Treatment,,290.7317003,459.3329791,71.56058127,79.33711623,No
Control,Low Value,92.79724429,109.0818768,53.31087548,,No
Treatment,,181.7072431,278.0682759,66.17145717,61.77044572,Yes
Control,Medium Value,233.0635881,281.1982446,72.57037972,89.10679227,Yes
Treatment,Medium Value,,403.0532056,,68.76589257,Yes
,High Value,198.5964175,280.4496871,78.5490678,68.38842234,
Control,,158.274214,187.7773205,70.99898662,98.1458977,
Treatment,Low Value,189.9751684,289.6766785,61.58866173,72.27446841,No
Control,Medium Value,,353.2302383,64.7279644,88.56011692,Yes
Treatment,,107.5167867,169.3448133,44.03411012,47.42791735,No
Treatment,Low Value,172.9838825,278.2455652,48.24390997,57.36999579,No
Control,,218.9919549,273.6186659,49.33814322,66.11109156,
,High Value,183.0385173,289.190777,100,100,
Control,Low Value,,166.7050331,46.87095094,,Yes
Treatment,High Value,217.3711454,,100,100,
Control,Medium Value,209.9688218,242.2282953,58.10238068,68.52570135,No
,Low Value,175.9511721,206.9070242,,56.46589147,No
Treatment,Medium Value,,444.5534045,72.10321901,77.63181866,No
Treatment,High Value,,372.0768245,100,96.71219703,No
Control,Medium Value,218.7268667,,70.46054729,,Yes
Treatment,Medium Value,,,56.92302961,65.33218806,No
Treatment,Low Value,197.9631428,310.0148369,53.72760812,32.90688785,
Treatment,,172.5640439,266.4449987,82.75386053,69.82160623,No
Control,Medium Value,,221.9213488,76.13094528,59.35356294,
Control,,,162.2374616,93.28146718,79.42952329,No
Control,Low Value,274.5924635,328.7935324,54.31608719,59.03539478,
Control,High Value,,327.0486442,100,,No
,High Value,,112.7306835,94.90874243,100,
Control,Medium Value,265.313166,319.6654365,63.87197953,54.56099478,
Control,,,,54.10763211,45.28556487,Yes
Control,Medium Value,232.6783461,279.1512328,81.77233859,85.86059695,No
Control,High Value,,108.8784866,83.77613528,98.54042647,Yes
Treatment,Low Value,164.1219011,265.4970032,56.56796022,65.1689729,Yes
Control,High Value,303.8260911,359.5862353,80.41938129,67.77779879,Yes
Treatment,,290.9461588,466.9408444,,100,Yes
Treatment,Low Value,197.0511424,311.3391023,53.59453079,57.98897876,No
Treatment,Low Value,219.0361935,339.2468236,60.49654683,55.03503732,No
Control,Medium Value,135.9393589,154.6988244,84.65882285,78.32402355,No
Control,Medium Value,223.5011739,269.7194872,75.22736542,76.35429608,No
Control,High Value,262.6095124,314.2027768,84.82005517,,Yes
Control,Low Value,300.4804412,366.7769827,52.20041071,61.99341516,No
Treatment,Low Value,155.8056998,234.9463014,35.84196332,47.14056988,Yes
,Medium Value,204.8807189,251.7787018,,69.99317462,Yes
Control,High Value,,284.508289,99.60617858,100,Yes
Control,High Value,257.838659,303.9227622,74.67419966,84.21624213,Yes
Control,Medium Value,,301.6209483,68.26781976,54.33604907,Yes
Control,Low Value,231.6581843,285.2209547,53.32403097,60.64185334,No
Treatment,Medium Value,248.7527435,398.1542709,76.86537293,98.40703167,Yes
Control,Medium Value,138.1645338,171.669912,70.86807549,80.31139411,
Treatment,Medium Value,74.64838735,129.4038069,,65.78886498,No
,,171.3168794,,,75.44572183,Yes
Treatment,Low Value,184.0360426,286.0754197,40.66853879,,
,Medium Value,167.4882113,210.0141639,64.68715059,62.07767316,No
Control,,165.5618866,185.0992727,,51.80904216,Yes
